org,num_language,num_speech,num_vision,num_multimodal,num_3d,num_protein,num_vector,num_embodied,downloads_language,downloads_speech,downloads_vision,downloads_multimodal,downloads_3d,downloads_protein,downloads_vector,downloads_embodied,descendants,likes,issue,num_adapted_chips
BAAI,2,0,0,2,0,0,0,1,16965,0,75,-11904,-164,0,3257048,-587,23,384,7,0
ShanghaiAILab,5,0,-1,4,0,-2,0,0,94436,0,-25094,-403596,0,-2195,0,0,8,201,17,0
Baidu,-3,0,2,-1,0,0,0,0,6079,0,195840,116142,0,0,0,0,-13,-63,36,0
Baichuan,0,0,0,0,0,0,0,0,4562,0,0,-885,0,0,0,0,2,-24,-1,0
Zhipu,6,0,0,-2,0,0,0,0,-194828,-134911,339307,460385,0,0,0,0,59,1646,15,0
Ali,12,-8,2,2,0,0,-1,0,17755850,-2315696,344633,270769,-332,0,501281,0,2863,6349,-11,0
Huawei,0,0,0,0,0,0,0,0,4084,0,0,0,0,0,0,0,0,0,0,0
LMSYS,5,0,0,0,0,0,0,0,-9002,0,0,0,0,0,0,0,16,19,3,0
Falcon,-1,0,0,0,0,0,0,0,-144108,0,0,-909,0,0,0,0,57,71,18,0
EleutherAI,-1,0,0,0,0,0,0,0,98880,0,0,0,0,-13938,0,0,41,60,4,0
Meta,6,-20,-15,0,-1,0,-1,0,9993903,1402382,-1552259,277386,-100653,-26725285,4058801,0,1372,6944,91,0
Google,26,-2,4,-9,0,0,-1,0,937351,-3627,2001225,1727789,0,0,-80,0,553,1434,8,0
Deepseek,0,0,0,0,0,0,0,0,1220403,0,0,14690,0,0,0,0,265,925,17,0
OpenBMB,4,0,0,-3,0,0,0,0,10856,-20,-403,55348,0,0,-625,0,5,197,-6,0
01-AI,0,0,0,0,0,0,0,0,14918,0,0,-40,0,0,0,0,-16,263,15,0
Ai2,-3,0,2,0,0,0,-1,0,211197,0,27180,11561,0,0,-45678,0,8,151,1,0
OpenAI,2,0,0,0,0,0,0,0,129005,0,4100,1805989,-923,0,0,0,365,5108,149,0
Nvidia,12,0,-5,3,-1,0,1,0,-190906,-1544664,-201247,639186,-213,0,6768,-1441,166,184,39,0
Microsoft,10,-1,-2,-3,0,1,0,0,-607654,-3062772,-1482035,1067174,8245,64,0,0,315,685,41,0
Apple,-1,0,-9,-2,0,0,0,0,70598,0,239779,-54114,0,0,0,0,7,-800,10,0
HuggingFace,0,0,0,1,0,0,0,0,2526915,0,-226,279619,0,0,0,0,260,1000,56,0
Princeton NLP,-15,0,0,0,0,0,0,0,-105252,0,0,0,0,0,0,0,-8,5,-20,0
UKP Lab,0,0,0,0,0,0,0,0,0,0,0,-96797,0,0,-1700355,0,71,186,11,0
Tencent,7,0,0,1,0,0,0,0,154550,703,15083,-136005,-117299,0,-372,-16,52,1228,33,0
ByteDance,6,0,4,1,0,0,0,0,-295601,0,-5878,-42522,-2087,0,0,0,42,604,30,0
